centroid,danceability,energy,loudness,speechiness,    acousticness,instrumental,liveness,valence,tempo
0,0.70853,0.49288,0.71571,0.06141,0.40587,0,0.10979,0.10864,0.35185
0,0.71069,0.56789,0.60436,0.42381,0.045748,0.21436,0.12002,0.09316,0.53565
0,0.70744,0.66792,0.79975,0.1238,0.025707,0.0078868,0.11593,0.019911,0.44885
0,0.68144,0.71093,0.76242,0.21477,0.040181,0,0.10365,0.27267,0.49335
0,0.76812,0.75094,0.84679,0.18986,0.062145,0,0.063542,0.17569,0.99797
0,0.86564,0.36485,0.63383,0.046355,0.18927,0,0.10775,0.030022,0.81301
0,0.82338,0.76094,0.76614,0.088054,0.011234,0.0036299,0.33081,0.14681,0.56679
0,0.76054,0.5759,0.64851,0.25268,0.14676,2.639e-06,0.0881,0.17363,0.50531
0,0.74753,0.29783,0.50199,0.074515,0.15587,0.33266,0.092397,0.019086,0.87474
0,0.81146,0.5749,0.64983,0.044189,0.17409,0.00029424,0.10058,0.27783,0.38218
0,0.8093,0.81295,0.76083,0.081989,0.099898,0.00015167,0.066612,0.33973,0.43185
0,0.84939,0.64791,0.74425,0.065526,0.07338,0.0059858,0.089737,0.18292,0.94985
0,0.58175,0.5779,0.76009,0.0060652,0.034716,0,0.15686,0.14165,0.35108
0,0.77137,0.71093,0.80688,0.1238,0.31579,0,0.19881,0.28299,0.5052
0,0.82772,0.5899,0.6996,0.26026,0.039574,0.010819,0.1057,0.32322,0.33885
0,0.78221,0.72693,0.7167,0.26243,0.001008,0.0017189,0.37378,0.19736,0.51473
0,0.69336,0.64791,0.62704,0.12813,0.0048167,0.00060162,0.37072,0.39131,0.44399
0,0.6771,0.75994,0.76499,0.072349,0.053137,0,0.12616,0.062932,0.41304
0,0.94366,0.47587,0.60041,0.41189,0.014068,0,0.40039,0.3552,0.39435
0,0.83747,0.63391,0.69254,0.076248,0.0054341,0,0.10263,0.2118,0.34994
0,0.974,0.50988,0.72193,0.23752,0.00021552,6.542e-06,0.045227,0.46972,0.44394
0,0.8288,0.38685,0.56017,0.34907,0.086841,0.41153,0.083802,0.55948,0.38219
0,0.71178,0.51888,0.56118,0.031301,0.025606,0.011527,0.18244,0.11276,0.87484
0,0.64135,0.47287,0.58365,0.015271,0.23482,0.026289,0.09956,0.13855,0.56715
0,0.94366,0.47387,0.64821,0.40106,0.021558,0,0.10263,0.15403,0.44376
0,0.75837,0.61991,0.71275,0.12704,0.06508,0.00019211,0.15277,0.20561,0.99703
0,0.5395,0.67992,0.75069,0.39781,0.23887,3.3165e-05,0.11389,0.021562,0.75313
0,0.60993,0.5729,0.69021,0.048305,0.0036629,0,0.078482,0.020633,0.35445
0,0.48423,0.43986,0.69966,0.22777,0.0039058,3.1446e-06,0.22746,0.11689,0.92424
0,0.58825,0.66192,0.68163,0.012022,0.024898,7.9373e-06,0.030901,0.046425,0.36387
0,0.77787,0.68392,0.71009,0.014188,0.008835,0.0005541,0.21621,0.15919,0.51176
0,0.65327,0.47887,0.71322,0.022636,0.061942,0.41254,0.11184,0.085938,0.64164
0,0.50157,0.61691,0.74603,0.046572,0.20445,0.1547,0.13844,0.017435,0.37629
0,0.79196,0.75594,0.85229,0.037366,0.0059706,0.0068655,0.12002,0.010833,0.38222
0,0.43981,0.61791,0.64079,0.092386,0.022165,0.0067139,0.15277,0.021149,0.32263
0,0.65002,0.44587,0.50711,0.1617,0.069837,1.9009e-05,0.31955,0.10141,0.35309
0,0.74537,0.67892,0.71949,0.013213,0.32793,4.2568e-05,0.42188,0.17673,0.94865
0,0.94257,0.42886,0.73031,0.10322,0.031173,0,0.093421,0.060043,0.50529
0,0.4994,0.61991,0.71533,0.27976,0.067813,0.00024368,0.13128,0.17363,0.33304
0,0.8158,0.5759,0.7059,0.15087,0.29352,0,0.09649,0.27473,0.82805
0,0.88406,0.90298,0.8876,0.063468,0.27024,0.0025581,0.10058,0.26132,0.38212
0,0.76379,0.62291,0.72133,0.037041,0.060829,0,0.10877,0.078407,0.47441
0,0.79629,0.50488,0.73461,0.099968,0.020849,2.0728e-05,0.19165,0.16538,0.35118
0,0.81146,0.73994,0.7648,0.077981,0.11134,2.3054e-05,0.11184,0.17776,0.38276
0,0.8028,0.70193,0.73179,0.04993,0.27733,0.13953,0.31955,0.16847,0.94862
0,0.55466,0.69193,0.7505,0.66858,0.37652,0.060263,0.090249,0.048592,0.53434
0,0.66627,0.70693,0.77315,0.11296,0.0092499,0.006451,0.088305,0.21593,0.62822
0,0.38997,0.50788,0.63956,0.11621,0.064675,0.18301,0.23872,0.050758,0.44892
0,0.46473,0.69493,0.62433,0.7888,0.0042601,0.015976,0.21723,0.055194,0.59784
0,0.81363,0.61991,0.69999,0.52778,0.2581,1.1021e-05,0.24588,0.2541,0.53605
0,0.546,0.71193,0.77924,0.35124,0.38259,3.4479e-05,0.1364,0.05406,0.61152
0,0.8353,0.70593,0.80241,0.029243,5.1447e-05,0,0.083905,0.019292,0.38244
0,0.84939,0.52188,0.76272,0.13896,0.001922,0,0.20291,0.040751,0.382
0,0.69119,0.53589,0.79534,0.29709,0.00089264,0.011325,0.13128,0.14681,0.75209
0,0.68144,0.51388,0.61071,0.024044,0.034007,0.00016582,0.10672,0.12102,0.38223
0,0.84614,0.61591,0.69955,0.047872,0.013056,0.0031244,0.092397,0.11792,0.41897
0,0.75295,0.5759,0.6881,0.028593,0.11134,3.4479e-06,0.18756,0.17054,0.9864
0,0.53516,0.51388,0.67325,0.032059,0.020545,0.00011021,0.089532,0.074693,0.50299
